1/1/78	7701
1/2/78	7527
1/3/78	8825
1/4/78	8859
1/5/78	9043
1/6/78	9208
1/7/78	8084
1/8/78	7611
1/9/78	9172
1/10/78	9089
1/11/78	9210
1/12/78	9259
1/13/78	9138
1/14/78	8299
1/15/78	7771
1/16/78	9458
1/17/78	9339
1/18/78	9120
1/19/78	9226
1/20/78	9305
1/21/78	7954
1/22/78	7560
1/23/78	9252
1/24/78	9416
1/25/78	9090
1/26/78	9387
1/27/78	8983
1/28/78	7946
1/29/78	7527
1/30/78	9184
1/31/78	9152
2/1/78	9159
2/2/78	9218
2/3/78	9167
2/4/78	8065
2/5/78	7804
2/6/78	9225
2/7/78	9328
2/8/78	9139
2/9/78	9247
2/10/78	9527
2/11/78	8144
2/12/78	7950
2/13/78	8966
2/14/78	9859
2/15/78	9285
2/16/78	9103
2/17/78	9238
2/18/78	8167
2/19/78	7695
2/20/78	9021
2/21/78	9252
2/22/78	9335
2/23/78	9268
2/24/78	9552
2/25/78	8313
2/26/78	7881
2/27/78	9262
2/28/78	9705
3/1/78	9132
3/2/78	9304
3/3/78	9431
3/4/78	8008
3/5/78	7791
3/6/78	9294
3/7/78	9573
3/8/78	9212
3/9/78	9218
3/10/78	9583
3/11/78	8144
3/12/78	7870
3/13/78	9022
3/14/78	9525
3/15/78	9284
3/16/78	9327
3/17/78	9480
3/18/78	7965
3/19/78	7729
3/20/78	9135
3/21/78	9663
3/22/78	9307
3/23/78	9159
3/24/78	9157
3/25/78	7874
3/26/78	7589
3/27/78	9100
3/28/78	9293
3/29/78	9195
3/30/78	8902
3/31/78	9318
4/1/78	8069
4/2/78	7691
4/3/78	9114
4/4/78	9439
4/5/78	8852
4/6/78	8969
4/7/78	9077
4/8/78	7890
4/9/78	7445
4/10/78	8870
4/11/78	9023
4/12/78	8606
4/13/78	8724
4/14/78	9012
4/15/78	7527
4/16/78	7193
4/17/78	8702
4/18/78	9205
4/19/78	8720
4/20/78	8582
4/21/78	8892
4/22/78	7787
4/23/78	7304
4/24/78	9017
4/25/78	9077
4/26/78	9019
4/27/78	8839
4/28/78	9047
4/29/78	7750
4/30/78	7135
5/1/78	8900
5/2/78	9422
5/3/78	9051
5/4/78	8672
5/5/78	9101
5/6/78	7718
5/7/78	7388
5/8/78	8987
5/9/78	9307
5/10/78	9273
5/11/78	8903
5/12/78	8975
5/13/78	7762
5/14/78	7382
5/15/78	9195
